date,country,segment,organization,contact_name,contact_title,contact_email,fit_score,trigger,briefing_file,draft_created,status,notes
2026-05-31,Poland,Critical infrastructure,PERN S.A.,Daniel Świętochowski,President of the Management Board,[UNVERIFIED],5,"Adamowo tank base on Belarus border; president flagged fuel-logistics security as here-and-now at ECIF 2025",prospecting/briefings/poland-pern.md,yes-gmail-draft,drafted,"No Gmail tool available (ToolSearch disabled); email text saved in briefing; no verified email - route via press/contact inbox"
2026-05-31,Poland,Critical infrastructure,Port Lotniczy Rzeszów-Jasionka,Adam Hamryszczak,President of the Management Board,[UNVERIFIED],5,"~80-95% of Western aid to Ukraine transits hub; Patriot/NASAMS ring; NATO protection mission 12/2025-06/2026",prospecting/briefings/poland-rzeszow-jasionka-airport.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; route via BIP/press; confirm VP security portfolio"
2026-05-31,Poland,Critical infrastructure,GAZ-SYSTEM S.A.,Sławomir Hinc,President of the Management Board,[UNVERIFIED],5,"Świnoujście LNG terminal multi-agency anti-drone security drill Oct 2025; special protection status",prospecting/briefings/poland-gaz-system.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; SOC manager unnamed; confirm subsidiary vs parent budget"
2026-05-31,Poland,Critical infrastructure,Polskie Sieci Elektroenergetyczne (PSE),Grzegorz Onichimowski,President of the Management Board,[UNVERIFIED],4,"Sole national HV TSO; 109 substations incl. exposed SE nodes; large 2025-2040 build/refurbish program",prospecting/briefings/poland-pse.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; confirm VP infrastructure/security portfolio"
2026-05-31,Poland,Critical infrastructure,PGE Dystrybucja S.A.,Mariusz Podkański,Vice President for Network Infrastructure,[UNVERIFIED],4,"Largest DSO covering central-eastern/eastern Poland incl. Lublin border belt",prospecting/briefings/poland-pge-dystrybucja.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; addressed to VP Network Infrastructure; confirm budget vs parent PGE"
2026-05-31,Poland,Critical infrastructure,Zarząd Morskiego Portu Gdańsk S.A.,Dorota Pyć,President of the Management Board,[UNVERIFIED],4,"Naftoport only maritime crude intake; sixth-berth expansion to 2028; Baltic Sentry protection",prospecting/briefings/poland-port-gdansk.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; Naftoport separate co - may need parallel PERN/Naftoport approach"
2026-05-31,Poland,Critical infrastructure,PKP Polskie Linie Kolejowe (PKP PLK),Krzysztof Waszkiewicz,Board Member - Director for Infrastructure Maintenance,[UNVERIFIED],4,"Rzeszów-Medyka/Małaszewicze border corridors for military mobility; EU-funded works underway",prospecting/briefings/poland-pkp-plk.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; addressed to infra-maintenance board member; president Piotr Wyborski"
2026-05-31,Poland,Critical infrastructure,ORLEN S.A.,Member of the Board for Security & Risk,Board Member - Security & Risk,[UNVERIFIED],4,"Płock (16.3Mt) + Gdańsk (10.5Mt) refineries; NIK fuel-safety scrutiny; security-board role being re-recruited to Feb 2026",prospecting/briefings/poland-orlen.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; security board-member NAME unconfirmed; Aramco 30% of Gdańsk refinery"
2026-05-31,Poland,Critical infrastructure,Atman (ATM S.A.),Sławomir Koszołko,CEO,[UNVERIFIED],3,"Largest Polish-owned DC operator ~15% national footprint; WAW-3 43MW build = design-in window",prospecting/briefings/poland-atman.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; Warsaw-centric (lower kinetic proximity); private buyer - faster decisions"
2026-05-31,Poland,Critical infrastructure,Orange Polska S.A.,Piotr Jaworski,Management Board Member (Networks/Technology),[UNVERIFIED],3,"Largest telecom; nationwide critical comms + Warsaw Data Hub; no single named kinetic trigger",prospecting/briefings/poland-orange-polska.md,yes-gmail-draft,drafted,"No Gmail tool; email text in briefing; confirm Jaworski current portfolio; lowest trigger - pursue later"
